time,value
2021-09-30T10:27:53.048Z,52
2021-09-30T10:27:53.559Z,62
2021-09-30T10:27:54.175Z,40
2021-09-30T10:27:55.195Z,38
2021-09-30T10:27:56.221Z,42
2021-09-30T10:27:56.629Z,40
2021-09-30T10:27:57.256Z,36
2021-09-30T10:27:57.756Z,56
2021-09-30T10:27:58.469Z,40
2021-09-30T10:27:58.884Z,36
2021-09-30T10:27:59.492Z,48
2021-09-30T10:28:00.416Z,50
2021-09-30T10:28:00.930Z,172
2021-09-30T10:28:01.542Z,244
2021-09-30T10:28:02.053Z,200
2021-09-30T10:28:02.565Z,96
2021-09-30T10:28:03.178Z,336
2021-09-30T10:28:04.099Z,242
2021-09-30T10:28:04.723Z,138
2021-09-30T10:28:05.326Z,228
2021-09-30T10:28:05.738Z,240
2021-09-30T10:28:06.250Z,212
2021-09-30T10:28:06.864Z,110
2021-09-30T10:28:07.271Z,186
2021-09-30T10:28:07.908Z,314
2021-09-30T10:28:08.501Z,218
2021-09-30T10:28:08.909Z,156
2021-09-30T10:28:09.421Z,90
2021-09-30T10:28:09.941Z,188
2021-09-30T10:28:10.447Z,296
2021-09-30T10:28:11.056Z,128
2021-09-30T10:28:12.081Z,52
2021-09-30T10:28:12.700Z,44
2021-09-30T10:28:13.111Z,42
2021-09-30T10:28:13.720Z,48
2021-09-30T10:28:14.133Z,44
2021-09-30T10:28:14.742Z,90
2021-09-30T10:28:15.152Z,44
2021-09-30T10:28:15.765Z,46
2021-09-30T10:28:16.380Z,42
2021-09-30T10:28:17.405Z,46
2021-09-30T10:28:18.020Z,52
2021-09-30T10:28:19.042Z,40
2021-09-30T10:28:20.270Z,84
2021-09-30T10:28:20.680Z,48
2021-09-30T10:28:21.291Z,44
2021-09-30T10:28:21.706Z,46
2021-09-30T10:28:22.314Z,44
2021-09-30T10:28:22.931Z,112
2021-09-30T10:28:23.341Z,180
2021-09-30T10:28:23.950Z,240
2021-09-30T10:28:24.362Z,136
2021-09-30T10:28:25.589Z,166
2021-09-30T10:28:26.000Z,294
2021-09-30T10:28:27.129Z,138
2021-09-30T10:28:28.148Z,336
2021-09-30T10:28:28.763Z,190
2021-09-30T10:28:29.174Z,120
2021-09-30T10:28:30.194Z,244
2021-09-30T10:28:31.421Z,188
2021-09-30T10:28:31.831Z,108
2021-09-30T10:28:32.445Z,186
2021-09-30T10:28:32.855Z,304
2021-09-30T10:28:33.468Z,288
2021-09-30T10:28:34.494Z,82
2021-09-30T10:28:35.106Z,48
2021-09-30T10:28:36.131Z,44
2021-09-30T10:28:37.155Z,42
2021-09-30T10:28:38.177Z,48
2021-09-30T10:28:38.691Z,50
2021-09-30T10:28:39.406Z,46
2021-09-30T10:28:39.814Z,48
2021-09-30T10:28:40.329Z,32
2021-09-30T10:28:40.837Z,48
2021-09-30T10:28:41.355Z,44
2021-09-30T10:28:42.070Z,46
2021-09-30T10:28:43.086Z,74
2021-09-30T10:28:44.113Z,42
2021-09-30T10:28:44.725Z,48
2021-09-30T10:28:45.135Z,230
2021-09-30T10:28:45.748Z,236
2021-09-30T10:28:46.159Z,312
2021-09-30T10:28:46.773Z,92
2021-09-30T10:28:47.385Z,216
2021-09-30T10:28:48.425Z,288
2021-09-30T10:28:49.432Z,140
2021-09-30T10:28:49.845Z,320
2021-09-30T10:28:50.457Z,250
2021-09-30T10:28:51.071Z,272
2021-09-30T10:28:52.094Z,140
2021-09-30T10:28:53.117Z,250
2021-09-30T10:28:53.730Z,102
2021-09-30T10:28:54.141Z,74
2021-09-30T10:28:54.760Z,224
2021-09-30T10:28:55.165Z,268
2021-09-30T10:28:55.792Z,180
2021-09-30T10:28:56.187Z,92
2021-09-30T10:28:56.801Z,70
2021-09-30T10:28:57.417Z,50
2021-09-30T10:28:57.826Z,38
2021-09-30T10:28:58.437Z,44
2021-09-30T10:33:30.031Z,50
2021-09-30T10:33:31.057Z,42
2021-09-30T10:33:31.566Z,48
2021-09-30T10:33:32.076Z,46
2021-09-30T10:33:32.591Z,52
2021-09-30T10:33:33.200Z,46
2021-09-30T10:33:33.714Z,48
2021-09-30T10:33:34.226Z,56
2021-09-30T10:33:34.740Z,58
2021-09-30T10:33:35.249Z,42
2021-09-30T10:33:36.281Z,50
2021-09-30T10:33:37.298Z,48
2021-09-30T10:33:37.913Z,42
2021-09-30T10:33:38.426Z,48
2021-09-30T10:33:39.452Z,50
2021-09-30T10:33:39.959Z,58
2021-09-30T10:33:40.674Z,50
2021-09-30T10:33:41.087Z,44
2021-09-30T10:33:41.696Z,46
2021-09-30T10:33:42.118Z,42
2021-09-30T10:33:42.719Z,40
2021-09-30T10:33:43.133Z,56
2021-09-30T10:33:43.649Z,50
2021-09-30T10:33:44.356Z,48
2021-09-30T10:33:44.770Z,46
2021-09-30T10:33:45.386Z,48
2021-09-30T10:33:46.506Z,48
2021-09-30T10:33:46.926Z,54
2021-09-30T10:33:47.331Z,48
2021-09-30T10:33:47.837Z,46
2021-09-30T10:33:48.347Z,52
2021-09-30T10:33:48.962Z,46
2021-09-30T10:33:49.373Z,54
2021-09-30T10:33:49.984Z,52
2021-09-30T10:33:50.601Z,50
2021-09-30T10:33:51.011Z,58
2021-09-30T10:33:52.046Z,68
2021-09-30T10:33:52.648Z,52
2021-09-30T10:33:53.058Z,50
2021-09-30T10:33:54.077Z,50
2021-09-30T10:33:54.692Z,46
2021-09-30T10:33:55.102Z,50
2021-09-30T10:33:55.713Z,56
2021-09-30T10:33:56.125Z,50
2021-09-30T10:33:56.739Z,46
2021-09-30T10:33:57.354Z,50
2021-09-30T10:33:58.376Z,50
2021-09-30T10:33:58.795Z,48
2021-09-30T10:33:59.399Z,46
2021-09-30T10:33:59.809Z,48
2021-09-30T10:34:00.423Z,72
2021-09-30T10:34:01.035Z,38
2021-09-30T10:34:02.060Z,40
2021-09-30T10:34:03.092Z,50
2021-09-30T10:34:04.107Z,58
2021-09-30T10:34:05.029Z,44
2021-09-30T10:34:05.649Z,76
2021-09-30T10:34:06.256Z,46
2021-09-30T10:34:07.279Z,44
